"","URL","Date","Thirty_Views_Organic","Thirty_Views_Paid","Thirty_Views_Total","Complete_Views_Organic","Complete_Views_Paid","Complete_Views_Total","Views_Organic","Views_Paid","Views_Total","Shares","Reaches","Fan_Reaches","Likes","Comments","Negative_Feedback","Targeted","Repost","Bug","Days_since_first_post","ratio_thirty_views_anyviews","reaches_per_fanreach","virality","shares_per_reach","likes_per_reach","comments_per_reach","neg_feedback_per_reach","views_per_reach","thirty_views_per_reach","thirty_views_residuals"
"1","https://www.facebook.com/Upworthy/posts/1080191502021707",2015-08-26,55403,0,55403,24419,0,24419,191795,0,191795,3845,858774,532628,8715,1455,128,"No","No","No",231,0.288865715998853,1.6123335611346,0.6123335611346,0.00447731300668162,0.0101481879982394,0.00169427579316561,0.000149049691769895,0.223335825257868,0.0645140630713086,-6672.07734103354
"2","https://www.facebook.com/Upworthy/posts/1080271768680347",2015-08-26,15785,0,15785,7283,0,7283,83607,0,83607,1116,323386,263755,1826,241,75,"Yes","No","No",231,0.188799980862846,1.22608481355804,0.226084813558037,0.00345098427266486,0.0056465029407581,0.000745239435226015,0.000231920986066187,0.258536238427143,0.0488116368673969,135202.108877557
"3","https://www.facebook.com/Upworthy/posts/1079606372080220",2015-08-25,144514,2659,147173,107161,1869,109030,473073,9387,482460,4077,2257703,1195473,8643,1409,449,"No","Yes","No",230,0.305047050532687,1.88854369776649,0.888543697766491,0.00180581768283959,0.00382822718488659,0.000624085630395141,0.000198874696981844,0.21369506972352,0.0651870507325366,-108127.651257703
"4","https://www.facebook.com/Upworthy/posts/1079482112092646",2015-08-25,53143,0,53143,18011,0,18011,267342,0,267342,2381,1581936,574036,5874,615,227,"Yes","No","No",230,0.198782832476753,2.75581322425771,1.75581322425771,0.00150511777973319,0.00371317170858998,0.000388764147222138,0.000143495059218578,0.1689967230027,0.033593647277766,-426687.022841773
"5","https://www.facebook.com/Upworthy/posts/1078687965505394",2015-08-24,49627,0,49627,26968,0,26968,241312,0,241312,4108,1241146,611943,13081,1166,230,"No","Yes","No",229,0.205654919771914,2.02820524133784,1.02820524133784,0.00330984428906833,0.0105394530538712,0.000939454343002354,0.000185312606252608,0.194426763652302,0.039984820480427,-159427.151811525
"6","https://www.facebook.com/Upworthy/posts/1078796085494582",2015-08-24,12482,0,12482,5146,0,5146,80868,0,80868,1016,526931,404789,1249,168,100,"No","No","No",229,0.154350299253104,1.30174238924477,0.301742389244767,0.0019281461899186,0.00237032932205545,0.000318827322742446,0.000189778168299075,0.153469809140096,0.0236881109670906,107412.097779337
"8","https://www.facebook.com/Upworthy/posts/1076783459029178",2015-08-21,58605,0,58605,24988,0,24988,271371,0,271371,3790,1026142,620513,6855,731,248,"Yes","No","No",226,0.215958963927612,1.65369943901256,0.653699439012559,0.0036934459363324,0.00668036197719224,0.000712377039435088,0.000241681950451302,0.264457550709356,0.0571119786540264,-21866.3020420201
"10","https://www.facebook.com/Upworthy/posts/1075727295801461",2015-08-20,54274,0,54274,27222,0,27222,230839,0,230839,4221,1414151,686252,6515,678,212,"No","No","No",225,0.235116249853794,2.06068761912534,1.06068761912534,0.00298482976711822,0.00460700448537674,0.000479439607227234,0.00014991326951648,0.163235043499598,0.0383792112723464,-171358.351443785
"11","https://www.facebook.com/Upworthy/posts/1075879839119540",2015-08-20,139160,0,139160,49532,0,49532,721376,0,721376,26488,2562220,549871,37599,8421,801,"Yes","No","No",225,0.192909107039879,4.65967472370792,3.65967472370792,0.0103379100935907,0.0146743839326834,0.00328660302394018,0.000312619525255443,0.281543349126929,0.0543122760730929,-1126000.10178933
"12","https://www.facebook.com/Upworthy/posts/1075049969202527",2015-08-19,170403,8326,178729,100857,3987,104844,528144,31085,559229,4971,2787208,1091995,19802,1422,386,"No","No","No",224,0.319598947837111,2.55239996520131,1.55239996520131,0.00178350521381971,0.00710460073306334,0.000510187973054038,0.00013848984359976,0.200641286907902,0.0641247441884495,-351970.688417987
"13","https://www.facebook.com/Upworthy/posts/1074393505934840",2015-08-18,351786,51940,403726,168724,19559,188283,1167806,227582,1395388,21781,6481725,1591262,39767,3929,868,"No","No","No",223,0.289328846170384,4.07332356331013,3.07332356331013,0.00336037088892232,0.00613524948991202,0.00060616579691363,0.000133914968623322,0.215280345895576,0.0622868140811281,-910625.698010133
"14","https://www.facebook.com/Upworthy/posts/1073811245993066",2015-08-17,60523,2076,62599,18678,541,19219,301467,13910,315377,10791,1165234,500942,13461,3373,353,"Yes","No","No",222,0.198489426939821,2.32608565462668,1.32608565462668,0.00926080083485377,0.0115521860845118,0.00289469754572901,0.000302943443119579,0.270655507820747,0.0537222566454463,-268842.500057891
"15","https://www.facebook.com/Upworthy/posts/1073670049340519",2015-08-17,39853,1425,41278,18369,582,18951,206664,10139,216803,3396,1601031,721937,6251,479,210,"No","Yes","No",222,0.190394044362855,2.21768797000292,1.21768797000292,0.0021211331947976,0.00390435912858652,0.000299182214460557,0.000131165480243668,0.135414617206038,0.0257821366357054,-229026.621325684
"16","https://www.facebook.com/Upworthy/posts/1071789046195286",2015-08-14,23689,0,23689,11056,0,11056,129080,0,129080,5273,536617,222036,12421,1535,136,"Yes","No","No",219,0.183521846916641,2.41680177989155,1.41680177989155,0.00982637523596904,0.0231468626599605,0.00286051317792765,0.000253439604037889,0.240544000655961,0.0441450792650997,-302163.712177305
"17","https://www.facebook.com/Upworthy/posts/1071272436246947",2015-08-13,86714,0,86714,51645,0,51645,359623,0,359623,5536,1576727,835892,17282,1060,270,"No","Yes","No",218,0.241124733401368,1.88628076354362,0.886280763543616,0.00351107071801269,0.0109606799401545,0.00067227871407035,0.000171240804527353,0.228081969802001,0.0549962041621663,-107296.446099496
"18","https://www.facebook.com/Upworthy/posts/1071213746252816",2015-08-13,97933,0,97933,40990,0,40990,297860,0,297860,5487,855780,185500,23080,1766,220,"Yes","No","No",218,0.328788692674411,4.6133692722372,3.6133692722372,0.0064116945944051,0.0269695482483816,0.0020636144803571,0.000257075416579027,0.348056743555587,0.114437121690154,-1108991.50749326
"19","https://www.facebook.com/Upworthy/posts/1070600086314182",2015-08-12,89666,0,89666,51196,0,51196,345876,0,345876,7201,2054825,740565,18280,2602,228,"No","Yes","No",217,0.25924319698389,2.77467204094171,1.77467204094171,0.00350443468421885,0.00889613470733517,0.0012662878833964,0.000110958354117747,0.168323823196623,0.0436368060540435,-433614.111374424
"20","https://www.facebook.com/Upworthy/posts/1069489579758566",2015-08-11,7068,0,7068,4021,0,4021,23755,0,23755,849,143604,75045,859,104,27,"Yes","No","No",216,0.297537360555672,1.91357185688587,0.913571856885869,0.00591209158519261,0.0059817275284811,0.000724213810200273,0.000188017046878917,0.165420183281803,0.0492186847163032,-117320.819468319
"21","https://www.facebook.com/Upworthy/posts/1069764389731085",2015-08-11,43241,0,43241,8842,0,8842,250562,0,250562,5557,1969815,792242,12610,2105,266,"No","Yes","No",216,0.172576049041754,2.48638042416332,1.48638042416332,0.00282107710622571,0.0064016163954483,0.00106862827219815,0.00013503806194998,0.127200777738011,0.0219518076570642,-327720.852740703
"22","https://www.facebook.com/Upworthy/posts/1068937383147119",2015-08-10,60118,0,60118,13249,0,13249,179414,0,179414,2456,571167,266973,9483,593,139,"Yes","No","No",215,0.335079759662011,2.13941859289142,1.13941859289142,0.00429996831049413,0.0166028499545667,0.00103822524760709,0.000243361398680246,0.31411828764617,0.105254680329921,-200277.261610725
"23","https://www.facebook.com/Upworthy/posts/1069225066451684",2015-08-10,7424,0,7424,3540,0,3540,37150,0,37150,562,130880,45533,1224,493,26,"Yes","No","No",215,0.199838492597577,2.87439878769244,1.87439878769244,0.0042940097799511,0.0093520782396088,0.00376680929095355,0.000198655256723716,0.283847799511002,0.0567237163814181,-470245.041903674
"24","https://www.facebook.com/Upworthy/posts/1067257579981766",2015-08-07,29614,0,29614,7253,0,7253,95664,0,95664,744,615609,302794,1423,193,132,"Yes","No","No",212,0.30956263589229,2.03309510756488,1.03309510756488,0.00120855932905464,0.00231153215758704,0.000313510686166057,0.000214421816445179,0.155397338245542,0.0481052096379358,-161223.263244978
"25","https://www.facebook.com/Upworthy/posts/1066718043369053",2015-08-06,40326,0,40326,11759,0,11759,166289,0,166289,3411,632894,426072,6978,596,166,"Yes","No","No",211,0.242505517502661,1.48541561050714,0.485415610507144,0.0053895281042323,0.0110255429819211,0.00094170587807753,0.000262287207652466,0.262743840200729,0.0637168309385142,39946.5358577892
"28","https://www.facebook.com/Upworthy/posts/1066099150097609",2015-08-05,58065,0,58065,21948,0,21948,199916,0,199916,3653,656581,379570,8147,1464,149,"Yes","No","No",210,0.290446987734849,1.72980214453197,0.72980214453197,0.00556366998131228,0.0124082177218043,0.00222973250825108,0.000226933158285116,0.304480330682734,0.0884353948713106,-49819.8151144716
"29","https://www.facebook.com/Upworthy/posts/1065387390168785",2015-08-04,148826,0,148826,64814,0,64814,480814,0,480814,6451,1303406,661765,21388,1745,381,"Yes","No","No",209,0.309529256635622,1.96959041351537,0.969590413515372,0.00494934042040623,0.0164093152862577,0.00133880003621281,0.000292311068078557,0.36889043014993,0.114182380624303,-137897.163559572
"30","https://www.facebook.com/Upworthy/posts/1065408503500007",2015-08-04,19526,0,19526,6443,0,6443,111102,0,111102,2262,620699,288218,6715,443,90,"Yes","No","No",209,0.175748411369732,2.15357472468756,1.15357472468756,0.00364427846669642,0.0108184482333627,0.000713711476899431,0.000144997816977311,0.178994971797925,0.0314580819366553,-205476.992849163
"32","https://www.facebook.com/Upworthy/posts/1062324930475031",2015-07-31,66164,0,66164,44299,0,44299,274210,0,274210,3214,1962358,940148,17903,1047,820,"Yes","Yes","No",205,0.241289522628642,2.0872862570574,1.0872862570574,0.00163782551399897,0.00912320789580698,0.000533541790030158,0.00041786463020509,0.139734951522607,0.0337165797474263,-181128.376938525
"33","https://www.facebook.com/Upworthy/posts/1061745950532929",2015-07-30,33221,0,33221,17257,0,17257,230565,0,230565,7975,830979,310124,21125,2102,756,"Yes","No","No",204,0.144085182052783,2.679505617108,1.679505617108,0.00959711376581117,0.0254218217307537,0.00252954647470032,0.000909770283003542,0.277461885318402,0.0399781462588104,-398658.246736789
"34","https://www.facebook.com/Upworthy/posts/1060065454034312",2015-07-27,48684,0,48684,22818,0,22818,232721,0,232721,2765,707072,478719,7356,896,399,"Yes","No","No",201,0.209194700950924,1.47700843292203,0.477008432922027,0.0039104928493845,0.0104034666908038,0.00126719768283852,0.00056429896813903,0.329133383870384,0.0688529598117306,43034.6014781113
"35","https://www.facebook.com/Upworthy/posts/1057673537606837",2015-07-23,141845,0,141845,103231,0,103231,646775,0,646775,2804,1688034,999424,17094,1459,707,"Yes","No","No",197,0.219311197866337,1.68900686795594,0.689006867955943,0.00166110398250272,0.0101265732799221,0.000864319083620354,0.000418830426401364,0.383152827490442,0.0840297055628026,-34835.1796895012
"36","https://www.facebook.com/Upworthy/posts/1055990941108430",2015-07-21,434029,2,434031,204355,2,204357,1663668,3,1663671,29691,5352206,1579037,95009,9244,2597,"Yes","No","No",195,0.260887519227059,3.38953805388981,2.38953805388981,0.00554743221766875,0.0177513720510758,0.00172713830521471,0.000485220486655409,0.310838372065649,0.0810938517687847,-659462.391188427
"37","https://www.facebook.com/Upworthy/posts/1052745514766306",2015-07-17,304538,0,304538,188517,0,188517,848091,0,848091,7706,3067904,1731584,13472,1691,1384,"Yes","No","No",191,0.359086465957073,1.77173270254287,0.771732702542874,0.00251181262516689,0.00439127169559413,0.000551190650033378,0.000451122329773031,0.276439875563251,0.0992658179656208,-65221.4541691306
"38","https://www.facebook.com/Upworthy/posts/1052328791474645",2015-07-15,109002,2,109004,97287,2,97289,261283,2,261285,679,1681920,1289728,3102,466,654,"Yes","No","No",189,0.417184300667853,1.30408892417626,0.30408892417626,0.000403705289193303,0.00184432077625571,0.000277064307458143,0.000388841324200913,0.155349243721461,0.0648092656012176,106550.184994045
"39","https://www.facebook.com/Upworthy/posts/1051147764926081",2015-07-13,10055,0,10055,6143,0,6143,51409,0,51409,164,692992,466432,1102,118,347,"Yes","No","No",187,0.19558832111109,1.48572996706915,0.485729967069155,0.000236654968599926,0.00159020594754341,0.000170276135943849,0.000500727281123014,0.0741841175655707,0.0145095470077577,39831.0686059276
"40","https://www.facebook.com/Upworthy/posts/1048906281816896",2015-07-10,656750,0,656750,310461,0,310461,2483531,0,2483531,35613,6282325,1207945,79356,14088,2306,"Yes","No","No",184,0.264442038371979,5.20083695863636,4.20083695863636,0.00566876116724302,0.0126316292137067,0.00224248188369752,0.000367061557623969,0.395320363082139,0.104539322623392,-1324776.0257876
"41","https://www.facebook.com/Upworthy/posts/1047639465276911",2015-07-09,81157,0,81157,22687,0,22687,443805,0,443805,4370,1692160,1096192,8847,1721,889,"Yes","No","No",183,0.182866348959566,1.5436711816908,0.543671181690799,0.00258249810892587,0.00522822900907716,0.00101704330559758,0.000525364031770045,0.26227129822239,0.0479605947428139,18548.5072396077
"42","https://www.facebook.com/Upworthy/posts/1048399345200923",2015-07-08,524530,0,524530,155450,0,155450,1286196,0,1286196,22965,4147554,1369088,54638,4861,1747,"Yes","No","No",182,0.407814983097444,3.02942834938295,2.02942834938295,0.00553699843329345,0.013173547589736,0.00117201608466098,0.000421212116828376,0.310109524794614,0.126467310612472,-527189.415296898
"43","https://www.facebook.com/Upworthy/posts/1042745782432946",2015-07-08,154601,0,154601,70297,0,70297,553739,0,553739,11458,3254272,1134592,28234,4633,1304,"No","No","No",182,0.279194710865588,2.86823104693141,1.86823104693141,0.00352091036028949,0.00867598037287602,0.0014236671058842,0.000400704059156702,0.170157565194305,0.0475070922160164,-467979.550541516
"44","https://www.facebook.com/Upworthy/posts/1046922968681894",2015-07-07,67041,0,67041,28333,0,28333,356135,0,356135,4923,1945600,1020928,10113,1220,1236,"Yes","No","No",181,0.1882460302975,1.90571715145436,0.905717151454363,0.00253032483552632,0.00519788240131579,0.000627055921052632,0.000635279605263158,0.183046361019737,0.0344577508223684,-114435.684052157
"45","https://www.facebook.com/Upworthy/posts/1046676715373186",2015-07-06,485237,0,485237,268097,0,268097,1952042,0,1952042,29762,5162345,1990656,122328,6664,3546,"Yes","No","No",180,0.248579180161083,2.59328834313915,1.59328834313915,0.0057652094154885,0.0236962078280316,0.00129088621546991,0.000686897136863189,0.378130868820275,0.0939954613649417,-366989.521183469
"46","https://www.facebook.com/Upworthy/posts/1042972302410294",2015-07-01,1074950,25370,1100320,483153,10119,493272,4478801,118721,4597522,90227,14072608,2509268,261119,44693,9941,"Yes","No","No",175,0.23932892545158,5.60825228712118,4.60825228712118,0.00641153366881249,0.018555124963333,0.00317588609019735,0.000706407795911035,0.326700068672417,0.0781887763803269,-1474424.97233934
"47","https://www.facebook.com/Upworthy/posts/1042774119096779",2015-06-30,397070,0,397070,102412,0,102412,895210,0,895210,15339,4397056,1546240,15732,7924,1575,"Yes","No","No",174,0.44354955820422,2.84370860927152,1.84370860927152,0.00348847046751281,0.00357784845132743,0.00180211486958547,0.000358194209944108,0.203593040434327,0.0903036031380997,-458972.140397351
"48","https://www.facebook.com/Upworthy/posts/1039350839439107",2015-06-29,177362,0,177362,76103,0,76103,776436,0,776436,13591,4947968,1673216,23814,3199,2065,"No","No","No",173,0.228430933135506,2.95716034271726,1.95716034271726,0.00274678413441639,0.00481288480442881,0.00064652802928394,0.000417343038596854,0.156920174099752,0.0358454217973924,-500644.436964504
"49","https://www.facebook.com/Upworthy/posts/1042249112482613",2015-06-29,39477,0,39477,21543,0,21543,276331,0,276331,1588,1754112,953856,8122,485,806,"Yes","No","No",173,0.142861278683897,1.8389694041868,0.838969404186795,0.00090530137186223,0.00463026306187974,0.000276493177174548,0.000459491754232341,0.157533270395505,0.022505404443958,-89918.3687600644
"50","https://www.facebook.com/Upworthy/posts/1040476272659897",2015-06-28,21393,0,21393,9111,0,9111,217867,0,217867,2366,1616896,826880,8429,562,837,"Yes","No","No",172,0.0981929342213369,1.95541795665635,0.955417956656347,0.00146329757758075,0.00521307492875238,0.000347579559848005,0.000517658525965801,0.13474397858613,0.0132309066260291,-132691.435913313
"51","https://www.facebook.com/Upworthy/posts/1040476042659920",2015-06-27,103796,0,103796,9695,0,9695,476493,0,476493,5050,3102720,1160192,20378,2973,2467,"Yes","No","No",171,0.21783321056133,2.67431597528685,1.67431597528685,0.00162760416666667,0.00656778568481848,0.000958191522277228,0.000795108807755776,0.153572671720297,0.0334532281353135,-396752.023830538
"52","https://www.facebook.com/Upworthy/posts/1039702536070604",2015-06-25,122851,0,122851,66516,0,66516,687208,1,687209,15595,3140012,1376256,26379,4303,1840,"Yes","No","No",169,0.178768031268508,2.28156098865327,1.28156098865327,0.00496654152914065,0.00840092330857334,0.00137037692849581,0.000585985021713293,0.218855533036179,0.0391243727730977,-252488.0114252
"53","https://www.facebook.com/Upworthy/posts/1039596429414548",2015-06-25,191950,0,191950,102422,0,102422,827344,0,827344,7078,2933760,1534976,31295,1941,2231,"Yes","No","No",169,0.232007484190373,1.91127418278853,0.911274182788526,0.00241260362129145,0.0106671984075044,0.000661608311518325,0.000760457569808028,0.282008071553229,0.0654279832024433,-116476.853902602
"54","https://www.facebook.com/Upworthy/posts/1038954619478729",2015-06-24,30683,0,30683,18137,0,18137,180790,0,180790,1166,1291264,768512,3848,417,644,"Yes","No","No",168,0.169716245367554,1.68021319120586,0.680213191205863,0.000902991177636796,0.00298002577319588,0.000322939383425852,0.000498736122125297,0.140010098632038,0.0237619882533703,-31605.1479013991
"55","https://www.facebook.com/Upworthy/posts/1038565526184305",2015-06-24,34997,0,34997,35578,0,35578,114127,0,114127,610,1337344,502784,2744,85,365,"Yes","No","No",168,0.306649609645395,2.65987780040733,1.65987780040733,0.000456127967075038,0.00205182810107198,6.35588150842267e-05,0.000272929029479326,0.0853385516366769,0.0261690335470904,-391448.694501018
"56","https://www.facebook.com/Upworthy/posts/1038333039540887",2015-06-23,41176,0,41176,15245,0,15245,92452,0,92452,1171,1319936,805888,2309,368,691,"Yes","No","No",167,0.445377060528707,1.63786531130877,0.637865311308767,0.000887164226144298,0.00174932724010861,0.000278801396431342,0.000523510230799069,0.0700427899534523,0.0311954519006982,-16050.2210927573
"57","https://www.facebook.com/Upworthy/posts/1038030286237829",2015-06-23,79868,4,79872,44592,2,44594,459016,6,459022,8130,2173952,1149952,19190,2339,1391,"Yes","No","No",167,0.174004731799347,1.89047195013357,0.890471950133571,0.00373973298398493,0.00882724181582666,0.00107592071950071,0.000639848533914272,0.211146336257654,0.0367404616109279,-108835.923419412
"58","https://www.facebook.com/Upworthy/posts/1037638306277027",2015-06-22,115106,0,115106,17246,0,17246,244961,0,244961,3277,1224192,666624,4867,929,497,"No","No","No",166,0.46989520780859,1.83640552995392,0.836405529953917,0.00267686768088666,0.00397568355290673,0.000758867890004182,0.000405982068172313,0.200100147689251,0.0940261004809703,-88976.6244239632
"59","https://www.facebook.com/Upworthy/posts/1037645306276327",2015-06-22,399481,0,399481,154096,0,154096,1466829,0,1466829,20218,4435968,1964032,64091,5023,3132,"Yes","No","No",166,0.272343265643098,2.25860271115746,1.25860271115746,0.00455774252654663,0.0144480302833564,0.00113233458852724,0.000706046572022161,0.330667173433172,0.0900549778537627,-244055.137643379
"60","https://www.facebook.com/Upworthy/posts/1035368526504005",2015-06-19,173869,1,173870,110975,1,110976,690936,1,690937,3149,3013632,1780736,18240,1289,1332,"No","Yes","No",163,0.251643782284058,1.69235192639448,0.69235192639448,0.00104491855674482,0.00605249745158002,0.000427723092932382,0.000441991590214067,0.229270528053857,0.0576945028457356,-36063.8631397355
"61","https://www.facebook.com/Upworthy/posts/1035888483118676",2015-06-19,12967,0,12967,4932,0,4932,56971,0,56971,1149,527903,278143,1274,187,192,"Yes","Yes","No",163,0.227607028137122,1.89795536828178,0.897955368281783,0.00217653621972218,0.00241332214440911,0.000354231743331635,0.000363703180319112,0.107919447322709,0.0245632246833225,-111584.680189687
"62","https://www.facebook.com/Upworthy/posts/1035237186517139",2015-06-18,282580,0,282580,152620,0,152620,1073671,0,1073671,14600,5763072,1785856,48805,6590,2391,"Yes","No","No",162,0.263190493177146,3.22706422018349,2.22706422018349,0.0025333710909737,0.00846857370513504,0.00114348736229566,0.000414882895788913,0.186301854288824,0.0490328769100924,-599783.639908257
"63","https://www.facebook.com/Upworthy/posts/1034324169941774",2015-06-17,157159,0,157159,72231,0,72231,740073,0,740073,12561,3054592,1474560,20522,2673,1661,"Yes","No","No",161,0.212356078386862,2.07152777777778,1.07152777777778,0.00411216948122695,0.00671840952899765,0.0008750759512236,0.000543771475863225,0.242282111653537,0.0514500790940329,-175340.082638889
"64","https://www.facebook.com/Upworthy/posts/1034271249947066",2015-06-16,131470,0,131470,31542,0,31542,543536,0,543536,6134,2024448,1308672,11579,1366,1414,"Yes","Yes","No",160,0.241879102764122,1.54694835680751,0.546948356807512,0.00302996174759737,0.00571958380753667,0.000674751833586242,0.000698462000505817,0.268486026808295,0.0649411592690946,17344.7582159625
"65","https://www.facebook.com/Upworthy/posts/1034182469955944",2015-06-16,7697,0,7697,3571,0,3571,30362,0,30362,1045,649472,443392,1272,297,388,"Yes","Yes","No",160,0.253507674066267,1.46478060046189,0.464780600461894,0.00160899931020891,0.00195851399290501,0.000457294540796216,0.00059740835632637,0.046748743594797,0.0118511652542373,47526.0433025404
"66","https://www.facebook.com/Upworthy/posts/1031485436892314",2015-06-11,18485,0,18485,14820,0,14820,30396,0,30396,873,848384,700160,2709,442,675,"Yes","Yes","Yes",155,0.608139228845901,1.21170018281536,0.211700182815356,0.00102901516294508,0.00319312952625226,0.000520990494870247,0.00079563028062764,0.0358281155703078,0.0217884825739288,140485.770749543
