"","URL","Date","Thirty_Views_Organic","Thirty_Views_Paid","Thirty_Views_Total","Complete_Views_Organic","Complete_Views_Paid","Complete_Views_Total","Views_Organic","Views_Paid","Views_Total","Shares","Reaches","Fan_Reaches","Likes","Comments","Negative_Feedback","Targeted","Repost","Bug","Days_since_first_post","ratio_thirty_views_anyviews","reaches_per_fanreach","virality","shares_per_reach","likes_per_reach","comments_per_reach","neg_feedback_per_reach","views_per_reach","thirty_views_per_reach","thirty_views_residuals"
"67","https://www.facebook.com/Upworthy/posts/1028061193901405",2015-06-07,17223,0,17223,6617,0,6617,30342,0,30342,974,618240,511744,3180,184,438,"Yes","Yes","Yes",151,0.567629029068618,1.20810405202601,0.208104052026013,0.00157543995859213,0.00514363354037267,0.000297619047619048,0.000708462732919255,0.0490780279503106,0.0278581133540373,141806.676338169
"68","https://www.facebook.com/Upworthy/posts/1027429553964569",2015-06-05,80872,0,80872,70774,0,70774,118575,0,118575,6155,2654208,1146880,15286,767,1050,"Yes","Yes","Yes",149,0.682032468901539,2.31428571428571,1.31428571428571,0.00231895917727623,0.0057591567804784,0.000288975091628086,0.000395598234953704,0.0446743435329861,0.030469352816358,-264508.228571429
"69","https://www.facebook.com/Upworthy/posts/1026824640691727",2015-06-04,45913,0,45913,11826,0,11826,83661,0,83661,6738,1410560,923648,14427,3118,932,"Yes","No","Yes",148,0.548798125769474,1.52716186252772,0.527161862527716,0.00477682622504537,0.0102278527676951,0.00221046960072595,0.000660730490018149,0.059310486615245,0.032549483892922,24612.594789357
"70","https://www.facebook.com/Upworthy/posts/1026634774044047",2015-06-03,24850,0,24850,20242,0,20242,35171,0,35171,431,750848,562944,2365,1269,745,"Yes","No","Yes",147,0.706548008302294,1.33378808549341,0.333788085493406,0.00057401764405046,0.00314977199113536,0.00169008907262189,0.000992211472894647,0.0468417043129901,0.0330959128878282,95641.2969531605
"71","https://www.facebook.com/Upworthy/posts/1026129324094592",2015-06-03,29654,0,29654,10347,0,10347,120398,0,120398,1061,780032,595968,1697,205,198,"Yes","No","No",147,0.246299772421469,1.30884879725086,0.308848797250859,0.00136020060715458,0.00217555177223499,0.000262809730882836,0.000253835740072202,0.15435007794552,0.0380163890712176,104801.821735395
"72","https://www.facebook.com/Upworthy/posts/1025441214163403",2015-06-02,836257,0,836257,490931,0,490931,2634357,2,2634359,65041,9515008,1847296,176364,37045,3518,"No","No","No",146,0.317442307597408,5.15077605321508,4.15077605321508,0.00683562220862032,0.0185353496287129,0.00389332305343306,0.000369731691239776,0.276863561228745,0.0878882077660891,-1306388.00443459
"73","https://www.facebook.com/Upworthy/posts/1024707724236752",2015-06-01,160723,0,160723,116411,0,116411,660875,0,660875,6073,2865152,1879040,21047,1299,363,"Yes","No","No",145,0.243197276338188,1.52479564032698,0.524795640326975,0.00211960831397427,0.00734585809060043,0.000453379087741244,0.000126694848999285,0.230659664827555,0.0560958022471408,25481.7389645776
"74","https://www.facebook.com/Upworthy/posts/1021988807841977",2015-05-29,1283204,0,1283204,452773,0,452773,4059210,0,4059210,76051,14700544,2396160,212378,23200,3205,"Yes","No","No",142,0.316121609869901,6.13504273504274,5.13504273504274,0.00517334596597242,0.0144469483578295,0.00157817288938423,0.000218019142692951,0.276126516134369,0.0872895588081638,-1667921.95213675
"75","https://www.facebook.com/Upworthy/posts/1018104014897123",2015-05-27,560482,0,560482,235542,0,235542,2224271,0,2224271,26690,14381056,2433024,82499,8164,1044,"No","No","No",140,0.251984582813875,5.91077441077441,4.91077441077441,0.00185591377990601,0.00573664409623327,0.000567691273853603,7.25955034178297e-05,0.154666736573448,0.0389736330906437,-1585545.28114478
"76","https://www.facebook.com/Upworthy/posts/1017968584910666",2015-05-22,299548,0,299548,181804,0,181804,1279169,0,1279169,19301,4583424,2045952,61500,4184,568,"Yes","No","No",135,0.234173905089945,2.24024024024024,1.24024024024024,0.00421104397062109,0.0134179163873995,0.000912854669347632,0.00012392482126899,0.27908589735534,0.0653546344392315,-237310.363363363
"77","https://www.facebook.com/Upworthy/posts/1016851695022355",2015-05-20,500287,0,500287,279134,0,279134,1739339,0,1739339,33652,7849984,2205696,96870,11896,1281,"Yes","No","No",133,0.287630530908581,3.55896007428041,2.55896007428041,0.00428688771849726,0.0123401525404383,0.00151541710148709,0.000163185045982259,0.221572298746087,0.0637309579229716,-721693.30176416
"78","https://www.facebook.com/Upworthy/posts/1015767018464156",2015-05-18,162282,0,162282,62634,0,62634,780067,0,780067,15400,3209216,1702912,20108,5690,441,"Yes","No","No",131,0.208035976396899,1.88454600120265,0.884546001202646,0.00479867980216975,0.00626570477026165,0.00177301870612636,0.000137416739789407,0.243070893327218,0.0505674906269943,-106659.245339747
"79","https://www.facebook.com/Upworthy/posts/1014401875267337",2015-05-17,115821,0,115821,71009,0,71009,536158,0,536158,4297,1833472,1500672,12802,1031,271,"Yes","No","No",130,0.216020277604736,1.22176731490959,0.221767314909587,0.00234364091734152,0.00698238096900307,0.000562321104440101,0.000147807002234013,0.292427700013963,0.0631703129363306,136787.982258615
"80","https://www.facebook.com/Upworthy/posts/1014328928607965",2015-05-15,126373,0,126373,51747,0,51747,330924,0,330924,6434,1502720,954368,10552,2471,262,"Yes","No","No",128,0.381879223024018,1.57457081545064,0.574570815450644,0.00428156942078365,0.007021933560477,0.0016443515758092,0.000174350511073254,0.220216673764906,0.084096172274276,7198.67006437774
"81","https://www.facebook.com/Upworthy/posts/1013703458670512",2015-05-14,36914,0,36914,16777,0,16777,195899,0,195899,2549,733952,585984,3131,652,100,"Yes","No","No",127,0.188433835803143,1.2525120139799,0.252512013979904,0.00347297915940007,0.00426594654691315,0.00088834147192187,0.000136248692012557,0.266909825165678,0.0502948421695152,125495.054609
"82","https://www.facebook.com/Upworthy/posts/1013163648724493",2015-05-13,556113,0,556113,335583,0,335583,1566153,0,1566153,12254,6350848,3053568,39581,6327,644,"Yes","No","No",126,0.35508216630176,2.07981220657277,1.07981220657277,0.001929506106901,0.00623239605167688,0.000996244910915834,0.000101403781038375,0.246605335224524,0.0875651566530958,-178383.061032864
"83","https://www.facebook.com/Upworthy/posts/1012693338771524",2015-05-12,847006,9,847015,598263,9,598272,2139601,9,2139610,33095,7698432,2725888,68666,14470,1070,"Yes","No","No",125,0.395873547048294,2.82419233658903,1.82419233658903,0.00429892736598829,0.00891947866786379,0.00187960353484969,0.000138989342245278,0.277928024823756,0.110024353011107,-451803.559729527
"84","https://www.facebook.com/Upworthy/posts/1012066538834204",2015-05-11,107781,0,107781,41842,0,41842,498152,0,498152,2056,1941504,1718272,4148,1688,170,"Yes","No","No",124,0.216361672742456,1.12991656734207,0.129916567342074,0.00105897283755274,0.00213648800105485,0.000869429061181435,8.7560983649789e-05,0.256580465453586,0.055514178698576,170525.955899881
"85","https://www.facebook.com/Upworthy/posts/1010293845678140",2015-05-10,66263,0,66263,29687,0,29687,314263,0,314263,2959,1554432,1296384,7827,740,136,"No","No","No",123,0.210852057035031,1.19905213270142,0.199052132701422,0.00190358922101449,0.00503527976778656,0.000476058135704875,8.74917654808959e-05,0.202172240406785,0.0426284327651515,145131.563981043
"86","https://www.facebook.com/Upworthy/posts/1010240009016857",2015-05-08,477283,0,477283,232066,0,232066,1222127,0,1222127,11375,4720640,2349056,37204,2675,463,"Yes","No","No",121,0.390534698930635,2.00959023539669,1.00959023539669,0.00240963089750542,0.00788113476138829,0.000566660452819957,9.80799213665944e-05,0.258890108120933,0.101105570431128,-152589.618134263
"87","https://www.facebook.com/Upworthy/posts/1009954472378744",2015-05-07,35271,0,35271,25456,0,25456,266317,0,266317,337,1016832,883200,1285,357,71,"Yes","No","No",120,0.132439911834393,1.15130434782609,0.151304347826087,0.000331421513091641,0.00126372891490433,0.000351090445619335,6.98247104733132e-05,0.261908555198892,0.0346871459592145,162669.946086957
"88","https://www.facebook.com/Upworthy/posts/1009277655779759",2015-05-06,178280,0,178280,120403,0,120403,675857,0,675857,6634,2412544,1463296,26318,2031,251,"Yes","No","No",119,0.263783611030144,1.64870538838349,0.648705388383485,0.00274979440789474,0.0109088165853141,0.000841849931027165,0.000104039553268251,0.280142869933149,0.0738970978353141,-20031.922323303
"89","https://www.facebook.com/Upworthy/posts/1008801525827372",2015-05-05,305467,0,305467,104185,0,104185,924507,0,924507,8416,3217408,2222080,32848,2541,790,"Yes","No","No",118,0.330410694564779,1.44792626728111,0.447926267281106,0.00261577021005729,0.0102094605346913,0.000789766172024188,0.000245539266390834,0.287345279181254,0.0949419532741884,53716.8589861752
"90","https://www.facebook.com/Upworthy/posts/1008070269233831",2015-05-04,373001,0,373001,217253,0,217253,1009998,0,1009998,14051,3598336,1860608,24064,9679,442,"Yes","No","No",117,0.369308652096341,1.93395707209686,0.933957072096863,0.00390486046883893,0.00668753557199772,0.00268985442159932,0.000122834554638588,0.280684738723677,0.103659302522055,-124808.574023115
"91","https://www.facebook.com/Upworthy/posts/1006249196082605",2015-05-01,69139,0,69139,22667,0,22667,323485,0,323485,2828,1392640,1130496,5289,629,132,"Yes","No","No",114,0.213731703170162,1.23188405797101,0.231884057971014,0.00203067555147059,0.00379782284007353,0.00045166015625,9.47840073529412e-05,0.232281853170956,0.04964599609375,133071.971014493
"92","https://www.facebook.com/Upworthy/posts/1005051116202413",2015-04-29,542150,13384,555534,330100,7688,337788,1612278,39938,1652216,12071,4747264,2652160,40171,6251,985,"No","No","No",112,0.336235697995904,1.78996138996139,0.78996138996139,0.00254272776908973,0.00846192670135893,0.00131675845286885,0.000207487934102675,0.348035415767903,0.117021930948016,-71917.088030888
"93","https://www.facebook.com/Upworthy/posts/1004525319588326",2015-04-28,137528,0,137528,63733,0,63733,640063,0,640063,9212,2577408,1776640,19911,2087,276,"No","No","No",111,0.214866349093761,1.4507204610951,0.450720461095101,0.00357413339292809,0.00772520299463647,0.000809728223083035,0.000107084326579261,0.248335925084426,0.0533590335717124,52690.5152737752
"94","https://www.facebook.com/Upworthy/posts/1001481909892667",2015-04-23,354616,0,354616,196612,0,196612,1267478,0,1267478,12437,3451904,1681408,43127,4117,439,"No","No","No",106,0.279780793039406,2.05298416565164,1.05298416565164,0.00360293913156333,0.0124936846447642,0.00119267511495105,0.000127176190299614,0.367182285486503,0.102730551023435,-168528.772838002
"95","https://www.facebook.com/Upworthy/posts/1000900266617498",2015-04-22,145927,0,145927,69702,0,69702,543368,0,543368,6975,2399232,1587200,15731,1098,234,"Yes","Yes","No",105,0.268560165486374,1.51161290322581,0.511612903225806,0.00290718029769526,0.00655668147140418,0.000457646446862996,9.75312099871959e-05,0.226475805591122,0.0608223798282117,30323.9296774193
"96","https://www.facebook.com/Upworthy/posts/999519466755578",2015-04-20,59960,0,59960,28092,0,28092,318319,0,318319,1032,1312256,1168384,3334,287,120,"Yes","No","No",103,0.188364502276019,1.12313759859772,0.123137598597721,0.000786431915723761,0.00254066279750293,0.000218707325399922,9.14455715957862e-05,0.242573857539992,0.0456923039406945,173015.959246275
"97","https://www.facebook.com/Upworthy/posts/997889810251877",2015-04-19,38603,0,38603,29214,0,29214,286054,0,286054,560,1106432,1043968,2511,95,99,"Yes","No","No",102,0.134950044397212,1.05983325159392,0.0598332515939186,0.000506131420638593,0.00226945713789912,8.58615802869042e-05,8.9476804720037e-05,0.258537352498843,0.0348896271980565,196268.468857283
"98","https://www.facebook.com/Upworthy/posts/997836110257247",2015-04-17,485336,0,485336,241525,0,241525,1159960,0,1159960,7573,3728384,2807808,13576,3805,413,"Yes","No","No",100,0.418407531294183,1.32786287381473,0.327862873814734,0.00203117490043944,0.00364125583630871,0.00102054938547102,0.000110771851826421,0.31111602238396,0.130173286871739,97817.7042304887
"99","https://www.facebook.com/Upworthy/posts/996604180380440",2015-04-15,983690,0,983690,198589,0,198589,3083168,0,3083168,46026,8908800,3026944,98758,13650,1490,"No","No","No",98,0.319051702664273,2.94316644113667,1.94316644113667,0.00516635237068966,0.0110854436063218,0.00153219288793103,0.000167250359195402,0.34608117816092,0.110417789152299,-495504.294993234
"100","https://www.facebook.com/Upworthy/posts/995842240456634",2015-04-14,205931,0,205931,89660,0,89660,1026263,0,1026263,13377,3448832,2100224,39433,6421,580,"No","No","No",97,0.200661039129346,1.64212579229644,0.642125792296441,0.00387870444254751,0.0114337259686758,0.00186178973055226,0.000168172877078385,0.297568278188094,0.0597103599131532,-17615.1511457825
"101","https://www.facebook.com/Upworthy/posts/995204130520445",2015-04-13,76605,0,76605,40571,0,40571,488691,0,488691,3634,1786368,1403392,8325,751,219,"No","No","No",96,0.156755495804097,1.27289310470631,0.272893104706312,0.002034295285182,0.00466029395958727,0.000420406097735741,0.000122595120378332,0.273566812661221,0.0428831013542562,118008.815031011
"102","https://www.facebook.com/Upworthy/posts/993401600700698",2015-04-12,164867,0,164867,73921,0,73921,754948,0,754948,4753,2640896,2088960,12840,3036,236,"No","No","No",95,0.21838192829175,1.26421568627451,0.26421568627451,0.00179976795754168,0.0048619862349748,0.00114960982939124,8.9363609926328e-05,0.285868129604498,0.0624284333801861,121196.143627451
"103","https://www.facebook.com/Upworthy/posts/993581100682748",2015-04-10,32257,0,32257,15689,0,15689,278162,0,278162,660,1182720,1100800,2269,697,236,"No","No","No",93,0.115964797492109,1.07441860465116,0.0744186046511628,0.000558035714285714,0.00191845914502165,0.000589319534632035,0.000199540043290043,0.235188379329004,0.0272735727813853,190911.079069767
"104","https://www.facebook.com/Upworthy/posts/990733177634207",2015-04-06,230429,0,230429,144855,0,144855,1061766,0,1061766,4419,2926592,2381824,22836,2385,400,"No","No","No",89,0.217024278419162,1.22871883061049,0.22871883061049,0.00150994740640308,0.00780293255773268,0.000814941064555633,0.000136677746675997,0.362799460942967,0.0787362912220084,134234.600171969
"105","https://www.facebook.com/Upworthy/posts/989018617805663",2015-04-03,86135,0,86135,60794,0,60794,413259,0,413259,4232,1550848,1203712,6673,1838,178,"No","No","No",86,0.208428612565002,1.28838792003403,0.288387920034028,0.0027288296467481,0.0043028072383625,0.00118515805546385,0.000114775916143942,0.266472923200726,0.0555405816688676,112317.367928541
"106","https://www.facebook.com/Upworthy/posts/987908001250058",2015-04-01,224476,0,224476,132614,0,132614,725845,0,725845,4629,2590720,2112512,23234,2647,265,"No","No","No",84,0.309261619216224,1.22636936500242,0.226369365002424,0.0017867619812253,0.00896816329051383,0.00102172369071146,0.000102288166996047,0.280171149333004,0.0866461833003953,135097.589432865
"107","https://www.facebook.com/Upworthy/posts/984615691579289",2015-03-27,41175,0,41175,20776,0,20776,236723,0,236723,347,910592,877312,1905,683,80,"No","Yes","No",79,0.173937471221639,1.03793405310767,0.0379340531076744,0.000381070775934777,0.0020920456142817,0.000750061498453753,8.78549339330897e-05,0.259966044068035,0.0452178363086871,204312.329150861
"108","https://www.facebook.com/Upworthy/posts/984433308264194",2015-03-27,433033,0,433033,286335,0,286335,1147434,0,1147434,6961,3832832,2754560,28893,7880,450,"No","No","No",79,0.377392512336222,1.39144981412639,0.391449814126394,0.00181615056438686,0.00753829022508683,0.00205592105263158,0.000117406659096981,0.299369761053967,0.112979906241651,74461.3944237918
"109","https://www.facebook.com/Upworthy/posts/983201095054082",2015-03-25,283256,101,283357,157057,80,157137,1059346,143,1059489,14998,3844096,2210816,42019,2823,589,"No","No","No",77,0.267446854096645,1.73876794812413,0.738767948124131,0.00390156749467235,0.0109307884090304,0.000734372918886521,0.000153221979888119,0.275614604838173,0.0737122590070591,-53113.0713293191
"110","https://www.facebook.com/Upworthy/posts/980397028667822",2015-03-21,153302,0,153302,154967,0,154967,662856,0,662856,758,2115584,1959936,6412,715,179,"No","No","No",73,0.231274967715462,1.07941483803553,0.0794148380355277,0.000358293501936108,0.00303084160212972,0.000337968144966118,8.46102069215876e-05,0.313320577202323,0.0724632063770571,189075.897596656
"111","https://www.facebook.com/Upworthy/posts/980412688666256",2015-03-20,61282,0,61282,31284,0,31284,323951,0,323951,403,1184768,1101312,1970,833,139,"No","No","No",72,0.189170584440239,1.07577870757787,0.0757787075778708,0.000340150983146067,0.0016627727960242,0.000703091238115817,0.000117322547536733,0.273429903576059,0.0517248946629214,190411.495583449
"112","https://www.facebook.com/Upworthy/posts/974652472575611",2015-03-11,135635,0,135635,84390,0,84390,646685,0,646685,2957,2156544,1869824,8378,1874,301,"No","No","No",63,0.209738899154921,1.15334063526835,0.153340635268346,0.00137117536206078,0.00388491957502374,0.000868982965337132,0.000139575172127255,0.299870997299383,0.0628946128620608,161921.991237678
"113","https://www.facebook.com/Upworthy/posts/973431412697717",2015-03-09,295674,0,295674,159599,0,159599,1208600,0,1208600,13310,4474880,2279424,58443,3750,974,"No","No","No",61,0.244641734237961,1.96316262353998,0.963162623539982,0.00297438143592677,0.0130602384868421,0.000838011298627002,0.000217659467963387,0.270085454805492,0.0660741740560641,-135536.152740341
"116","https://www.facebook.com/Upworthy/posts/965235740183951",2015-02-25,198776,0,198776,128199,0,128199,701107,0,701107,2809,2757632,2049024,22033,954,293,"No","No","No",49,0.283517351845011,1.34582708645677,0.345827086456772,0.00101862757612328,0.00798982605365763,0.000345948988117341,0.000106250580207947,0.25424240797902,0.0720821342369105,91219.2153923039
"117","https://www.facebook.com/Upworthy/posts/960720717302120",2015-02-22,36816,0,36816,21764,0,21764,285516,0,285516,554,1142784,1087488,1806,349,141,"No","No","No",46,0.128945488168789,1.05084745762712,0.0508474576271186,0.000484781025985663,0.00158035114247312,0.000305394545250896,0.000123382896505376,0.249842489919355,0.032216061827957,199569.06779661
"118","https://www.facebook.com/Upworthy/posts/961613427212849",2015-02-22,138787,0,138787,104430,0,104430,643374,0,643374,1413,2095104,1906688,8633,937,320,"No","No","No",46,0.215717452057435,1.09881847475832,0.0988184747583244,0.0006744295271261,0.00412055917033236,0.000447233168377322,0.000152737047898338,0.307084517045455,0.0662434895833333,181948.689581096
"119","https://www.facebook.com/Upworthy/posts/960777160629809",2015-02-19,158818,0,158818,71696,0,71696,685691,0,685691,3973,2562048,2110464,16535,2006,524,"Yes","No","No",43,0.231617448675861,1.21397379912664,0.213973799126638,0.00155071255495604,0.00645382131794564,0.000782967376099121,0.000204523880895284,0.267633939723221,0.0619886902977618,139650.641921397
"120","https://www.facebook.com/Upworthy/posts/956093464431512",2015-02-14,395454,3,395457,211344,3,211347,1624860,7,1624867,26159,5863424,2404352,99999,15445,2520,"No","Yes","No",38,0.243378073405393,2.43867120954003,1.43867120954003,0.00446138638447433,0.0170547106946385,0.002634126408051,0.000429783007334963,0.277119137214024,0.0674447217189137,-310196.637989778
"121","https://www.facebook.com/Upworthy/posts/954038854636973",2015-02-10,177211,0,177211,106777,0,106777,650102,0,650102,5141,2518016,1689600,14795,3647,408,"No","No","No",34,0.272589532104193,1.49030303030303,0.49030303030303,0.00204168678832859,0.0058756576606344,0.00144836252033347,0.000162032330215535,0.258180249847499,0.0703772335044734,38151.3230303031
"122","https://www.facebook.com/Upworthy/posts/953510561356469",2015-02-09,372100,0,372100,303811,0,303811,919631,0,919631,3978,2744320,2116608,14054,4108,476,"No","No","No",33,0.40461880906581,1.29656507014998,0.296565070149976,0.00144953941231343,0.0051211229011194,0.00149690998134328,0.000173449160447761,0.335103413596082,0.135589144123134,109313.794388002
"123","https://www.facebook.com/Upworthy/posts/951384848235707",2015-02-06,732816,55,732871,364367,38,364405,2102886,78,2102964,38571,7946240,3006464,97921,8347,3430,"No","No","No",30,0.348494315642113,2.64305177111717,1.64305177111717,0.00485399383859536,0.0123229351240335,0.00105043391591495,0.000431650692654639,0.264648940882732,0.0922286515383376,-385268.27520436
"124","https://www.facebook.com/Upworthy/posts/950699214970937",2015-02-05,320269,1,320270,228520,0,228520,1321945,1,1321946,11553,4749312,2603008,33659,6856,997,"No","No","No",29,0.242271620777248,1.82454760031471,0.824547600314713,0.00243256286384217,0.00708713177824493,0.00144357751185856,0.000209925142841742,0.278344737090341,0.0674350305896938,-84621.052714398
"125","https://www.facebook.com/Upworthy/posts/949682575072601",2015-02-03,58388,0,58388,7514,0,7514,405624,0,405624,2733,1798656,1432064,6863,1072,249,"No","No","No",27,0.143946117586731,1.25598855917054,0.25598855917054,0.00151946786934244,0.00381562677910618,0.000596000569313977,0.00013843669940222,0.225515051238258,0.0324620160831198,124218.074365392
"126","https://www.facebook.com/Upworthy/posts/947209858653206",2015-02-01,49666,0,49666,22167,0,22167,310757,0,310757,753,1395712,1308672,2532,612,183,"No","No","No",25,0.159822626682585,1.06651017214397,0.066510172143975,0.000539509583639032,0.0018141278429934,0.00043848587674248,0.000131115874908291,0.222651234638665,0.0355847051540719,193815.94913928
"127","https://www.facebook.com/Upworthy/posts/946602228713969",2015-01-29,60240,0,60240,14728,0,14728,331382,0,331382,409,1188864,1133056,2193,337,199,"No","No","No",22,0.181784164498977,1.049254405784,0.0492544057840036,0.000344025893626184,0.00184461805555556,0.000283463878122308,0.000167386681739879,0.278738358634798,0.0506702196382429,200154.21644826
"128","https://www.facebook.com/Upworthy/posts/946578362049689",2015-01-29,50164,0,50164,21777,0,21777,311699,0,311699,2399,1525760,1302016,7086,804,274,"No","No","No",22,0.160937314524589,1.17184427841133,0.171844278411325,0.00157233116610738,0.00464424286912752,0.000526950503355705,0.000179582634228188,0.204290976300336,0.0328780411073826,155125.362563901
"129","https://www.facebook.com/Upworthy/posts/937768546264004",2015-01-19,38642,0,38642,21368,0,21368,280475,3,280478,913,1290752,1203712,4320,225,172,"No","No","No",12,0.137771946462824,1.07230965546576,0.0723096554657593,0.000707339597381991,0.00334688615628719,0.000174316987306624,0.000133255652518842,0.217298133181277,0.0299375867711226,191685.723521906
"130","https://www.facebook.com/Upworthy/posts/937079316332927",2015-01-15,370142,0,370142,299227,0,299227,1301015,0,1301015,6547,3930112,2116608,35514,4793,826,"No","No","No",8,0.284502484598563,1.85679729075955,0.856797290759555,0.00166585583311621,0.00903638369593538,0.00121955811946326,0.000210172127410109,0.331037639639786,0.0941810309731631,-96466.7832607644
"131","https://www.facebook.com/Upworthy/posts/936079183099607",2015-01-14,275910,247,276157,102527,59,102586,1187418,343,1187761,9124,3845120,2601984,30661,10054,1346,"No","No","No",7,0.23250216163016,1.47776465958284,0.477764659582841,0.00237287782956059,0.00797400341211718,0.00261474284287617,0.000350054094540613,0.30890089255992,0.0718201252496671,42756.8295946478
"132","https://www.facebook.com/Upworthy/posts/932299396810919",2015-01-07,92096,0,92096,45456,0,45456,492232,0,492232,1427,1791488,1638912,4960,447,256,"No","No","No",0,0.187098766435339,1.0930959075289,0.0930959075288972,0.000796544548442412,0.00276864818519577,0.000249513253786796,0.000142897970848814,0.274761539011146,0.0514075450128608,184050.662917838
